,exchange,base_currency,open_price,high_price,low_price,close_price,krw_volume,base_volume,etime_date
0,Bithumb,BTC,50993000,51121000,50790000,50904000,104495215386.9226,2029.43306792,2021-09-28
1,Bithumb,ETH,3515000,3521000,3477000,3505000,98353012718.6844,27514.4004319,2021-09-28
2,Bithumb,LTC,177800,178700,176400,178300,16451061682.728,91947.05164724,2021-09-28
3,Bithumb,ETC,56050,56150,55500,56100,13783251265.321,243536.1436104,2021-09-28
4,Bithumb,XRP,1127,1129,1119,1126,85619593482.1784,75514059.36928922,2021-09-28
5,Bithumb,BCH,595500,597000,591500,595500,6925032828.6739,11553.20958524,2021-09-28
6,Bithumb,QTUM,11070,11090,10920,11010,4884895409.5866,435277.79626671,2021-09-28
7,Bithumb,BTG,61650,62050,61350,61700,5066396810.888,81449.60596948,2021-09-28
8,Bithumb,EOS,4630,4641,4590,4629,15092998847.9952,3222672.84422052,2021-09-28
9,Bithumb,ICX,1776,1784,1757,1783,1010647639.176,558419.9597994,2021-09-28
10,Bithumb,TRX,104.1,104.4,103.2,104.2,7237717086.6745,68939492.63197913,2021-09-28
11,Bithumb,ELF,707.7,710.3,703,710.1,544489916.7309,749514.46822269,2021-09-28
12,Bithumb,OMG,11490,11490,11110,11220,16328175388.5957,1414373.82396689,2021-09-28
13,Bithumb,KNC,1677,1683,1663,1681,274814238.688,161965.62955083,2021-09-28
14,Bithumb,GLM,527.7,528.5,524.3,528.5,473390865.4497,880439.89499654,2021-09-28
15,Bithumb,ZIL,93.8,94.8,93.32,94.64,207569667.6852,2152605.06489458,2021-09-28
16,Bithumb,WAXP,245.4,246.9,244.1,246.2,1278861210.178,5137516.86850064,2021-09-28
17,Bithumb,POWR,329.8,330.7,326.7,328.7,645943186.8459,1924014.01011781,2021-09-28
18,Bithumb,LRC,440.9,443.8,437.6,442.3,233197831.9806,523272.98567269,2021-09-28
19,Bithumb,STEEM,534.9,534.9,527.3,532.5,734188049.1073,1349726.28597446,2021-09-28
20,Bithumb,STRAX,2090,2107,2080,2107,204173933.967,95891.72814271,2021-09-28
21,Bithumb,ZRX,1013,1018,1006,1018,118093599.8113,113692.44651286,2021-09-28
22,Bithumb,REP,23570,23610,23270,23360,949394555.2809,39534.44579437,2021-09-28
23,Bithumb,XEM,169.1,169.6,167.7,169.1,1614261352.9319,9399901.69386151,2021-09-28
24,Bithumb,SNT,84.52,84.52,83.04,83.84,604147744.4343,7055750.07620758,2021-09-28
25,Bithumb,ADA,2565,2568,2540,2556,18619606707.827,7137088.93706533,2021-09-28
26,Bithumb,CTXC,230.4,230.8,226.4,229.5,569673833.1829,2473241.73619284,2021-09-28
27,Bithumb,BAT,727.3,727.3,720,726.3,134353140.4517,180337.63584454,2021-09-28
